File extension,File format [open|proprietary|Unknown],Encoding [binary|text|Unknown],Category [source|export]
3dm,open,binary,source
3dxml,proprietary,text,export
3KO,proprietary,binary,export
3mf,open,text,export
amf,open,text,export
asab,open,binary,export
asat,open,text,export
asm,proprietary,binary,source
CATPart,proprietary,binary,source
CATProduct,proprietary,binary,source
CGR,proprietary,binary,source
csg,open,text,export
dae,open,text,export
dgn,open,binary,source
dwg,proprietary,binary,source
dxf,open,both,source
FCStd,open,both,source
html,open,text,export
iam,Unknown,binary,source
iges,open,text,export
igs,open,text,export
ipt,Unknown,binary,source
iwb,Unknown,text,export
iwp,Unknown,Unknown,export
jt,open,binary,export
j_t,open,binary,export
model,proprietary,Unknown,source
obj,open,text,export
off,open,text,export
par,Unknown,text,source
pdf,open,binary,export
ply,Unknown,Unknown,export
pod,Unknown,Unknown,export
prc,open,binary,export
prt,proprietary,binary,source
psm,Unknown,Unknown,source
sab,open,binary,export
sat,open,text,export
scad,open,binary,source
sldasm,proprietary,binary,source
sldprt,proprietary,binary,source
sms,Unknown,binary,export
step,open,text,export
stl,open,both,export
stp,open,text,export
svg,open,text,export
u3d,Unknown,binary,export
vda,open,binary,export
wrl,Unknown,text,export
x_t,Unknown,text,export
xcgm,Unknown,Unknown,export
